dblp-l3s,acm-rkb
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AbadiC02,564770
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,872855
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AbiteboulBCMM03,872821
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AbiteboulCM95,223854
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AboulnagaC99,304198
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaAFZ95,223816
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaFZ97,253293
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaGP00,335450
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaGPR99,304581
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaGPR99a,304207
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AcharyaPR99,304184
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AchyutuniON96,233326
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdaliBSS98,276340
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdaliCPS96,233327
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdaliSS99,304193
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdamY98,276350
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/Adelberg98,276330
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdelbergD99,304576
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdelbergGK95,223842
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdelbergGW97,253287
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdiBEY01,375759
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AdyaGLM95,223787
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AfratiLU01,375705
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/Agarwal96,233336
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/Aggarwal02,564743
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/Aggarwal03,872826
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AggarwalPWYP99,304188
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AggarwalWY99,304218
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AggarwalY00,335383
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AggarwalY01,375668
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgichteinG03,872851
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgichteinGV01,375774
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgrawalASY97,253355
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgrawalCD02,564782
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgrawalCFGHIIMMSS94,191972
http://dblp.l3s.de/d2r/resource/publications/conf/sigmod/AgrawalCN01,375769
